hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
17159,220697684778942464,-29.3955,-11.1833,-250.785,-0.246098,-0.0841304,-2.04307,0.0
17164,117094689823260672,-28.6462,-13.3264,-252.255,-0.459797,-0.203321,-4.01505,0.0
17197,734097528219238400,-25.9602,-18.1307,-232.128,-0.289035,-0.21445,-2.6097,0.0
17595,211669869681180672,-28.913,-14.0636,-145.543,-0.503945,-0.256438,-2.61868,0.0
17730,130610436507697152,-4.29777,-31.7428,-199.97099999999998,-0.0964748,-0.640138,-4.09591,0.0
17844,229685573860720640,25.0326,-21.6157,-144.662,0.244299,-0.198094,-1.36025,0.0
18148,139620109663600640,-31.5119,8.39118,-200.845,-0.159372,0.0318502,-1.04014,0.0
18229,337772308514996224,-30.1577,-9.00345,-96.5139,-0.460524,-0.14598599999999998,-1.61762,0.0
18246,743105689546653696,-21.7231,-22.8745,-70.5423,-0.535744,-0.577995,-1.7243400000000002,0.0
18249,4512120842485760,-23.2119,-21.2076,-96.7,-2.1999400000000002,-1.9982,-9.13389,0.0
18408,747603448018501632,-6.0063699999999995,-31.1505,-83.6836,-0.0545156,-0.33503,-0.8964620000000001,0.0
18588,63050669661093888,24.6556,-21.2575,-71.7171,0.32064499999999996,-0.28882800000000003,-0.941794,0.0
18762,558448621536673792,24.1455,20.1625,-93.5821,1.11857,0.9459190000000001,-4.86106,0.0
18909,914239039412895744,6.8491100000000005,31.103,-71.4475,0.0749465,0.297442,-0.5785710000000001,0.0
19087,364802015177474048,-29.1824,11.8635,-110.947,-0.406385,0.17493499999999998,-1.39418,0.0
19249,63057335450337280,-31.4627,-6.770969999999999,-39.5358,-0.319892,-0.0793715,-0.398565,0.0
19397,126101133163757568,-25.8324,-19.0171,-18.7895,-0.17599700000000001,-0.142372,-0.162667,0.0
19793,779127752056897536,5.286230000000001,-31.9819,-67.4452,0.113676,-0.7479319999999999,-1.50274,0.0
19866,495400769374126080,17.8951,-26.8346,-29.2683,0.286559,-0.41283800000000004,-0.5140239999999999,0.0
19997,864703841558331392,26.1633,-19.2694,-22.2082,0.439117,-0.31112199999999995,-0.342681,0.0
20072,454864593156571136,28.1914,-15.0605,-1.63798,0.975994,-0.511572,-0.041062699999999994,0.05255109790015119
20083,837697018481606656,25.7109,-20.2081,-6.668480000000001,0.07236569999999999,-0.11301800000000001,-0.00860357,0.0
20172,779124384802537472,31.8359,-2.64778,-30.1362,0.364872,-0.020563599999999998,-0.31027,0.0
20364,153126716657631232,28.9696,13.9017,-28.3505,0.490267,0.22386599999999998,-0.5050600000000001,0.0
20751,585470219300896768,8.21044,31.5221,-42.8354,0.0761027,0.25634,-0.403287,0.0
20853,355784782879129600,-3.24031,32.6972,-25.6075,-0.07446939999999999,0.659454,-0.47992799999999997,0.0
20984,355801687870406656,-20.1609,24.8108,-30.2006,-0.299982,0.28527800000000003,-0.404983,0.0
21156,963770801293623296,-28.1602,15.1253,-32.5325,-0.6301770000000001,0.348488,-0.7824399999999999,0.0
21177,526925623168335872,-26.5351,18.4979,-54.9355,-0.36383000000000004,0.265455,-0.756784,0.0
